"","county","Category","Sales_Dollars","Sales_Volume","High School","Bachelor","Unemployment","Income","Population","White Population","Black Population","Indian Population","Asain Population","Hawaiian Population","Other Population","Multi Population"
"100","Buchanan","Brandy",18459,1594,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"101","Buena Vista","Brandy",124708,5731,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"102","Buena Vista","Tequila",121906,6446,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"103","Buena Vista","Rum",245103,18131,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"104","Buena Vista","Vodka",307204,29151,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"105","Buena Vista","Schnapps",60064,4643,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"106","Buena Vista","Gin",44777,3887,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"107","Buena Vista","Whisky",644457,44758,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"108","Buena Vista","Amaretto",5830,686,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"109","Buena Vista","Misc",130400,7939,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"110","Buena Vista","Distilled Spirits",5261,243,78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313
"111","Butler","Vodka",59237,6862,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"112","Butler","Whisky",108734,9017,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"113","Butler","Rum",44311,3127,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"114","Butler","Misc",13189,752,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"115","Butler","Tequila",6110,434,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"116","Butler","Distilled Spirits",1343,86,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"117","Butler","Amaretto",381,60,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"118","Butler","Brandy",8452,772,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"119","Butler","Gin",3005,286,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"120","Butler","Schnapps",15711,1313,91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91
"121","Calhoun","Gin",5530,537,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"122","Calhoun","Vodka",66698,7406,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"123","Calhoun","Misc",21560,1352,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"124","Calhoun","Whisky",141632,11525,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
"125","Calhoun","Brandy",6569,586,92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142
