"","zipcode","city","county","city_avg_sales","zipcode_avg_sales"
"972",52627,"Fort Madison","Lee",105137.7,105137.7
"975",52632,"Keokuk","Lee",198192.2,198192.2
"977",52637,"Mediapolis","Des Moines",10915.5,10915.5
"979",52639,"Montrose","Lee",910.666666666667,910.666666666667
"981",52641,"Mount Pleasant","Henry",102925.9,102925.9
"992",52653,"Wapello","Louisa",9592.2,9592.2
"994",52655,"West Burlington","Des Moines",74300.8,74300.8
"995",52656,"West Point","Lee",21477,21477
"1003",52722,"Bettendorf","Scott",500632,500632
"1004",52726,"Blue Grass","Scott",7513.3,7513.3
"1006",52728,"Buffalo","Scott",3345.8,3345.8
"1008",52730,"Camanche","Clinton",8718.3,8718.3
"1010",52732,"Clinton","Clinton",284789.1,260183.2
"1015",52738,"Columbus Junction","Louisa",13008.5,13008.5
"1017",52742,"De Witt","Clinton",27179.5,27179.5
"1020",52747,"Durant","Cedar",6946.1,6946.1
"1021",52748,"Eldridge","Scott",42497,42497
"1024",52751,"Grand Mound","Clinton",3727.5,3727.5
"1026",52753,"Le Claire","Scott",49552.8,49552.8
"1034",52761,"Muscatine","Muscatine",262144.1,262144.1
"1038",52768,"Princeton","Scott",1631.2,1631.2
"1041",52772,"Tipton","Cedar",29939.9,29939.9
"1044",52776,"West Liberty","Muscatine",16869,16869
"1045",52777,"Wheatland","Clinton",1065.7,1065.7
"1046",52778,"Wilton","Muscatine",7752.2,7752.2
"1047",52801,"Davenport","Scott",1325172.6,627.333333333333
"1048",52802,"Davenport","Scott",1325172.6,95393.1
"1049",52803,"Davenport","Scott",1325172.6,81677.7
"1050",52804,"Davenport","Scott",1325172.6,414602.1
"1052",52806,"Davenport","Scott",1325172.6,163233.5
"1053",52807,"Davenport","Scott",1325172.6,569701.8
